Time,Altitude,Temperature,Voltage
0,3,70.1F,3.95
0.05,3,70.1F,3.95
0.1,3,70.1F,3.95
0.15,4,70.1F,3.95
0.2,5,70.1F,3.95
0.25,6,70.1F,3.95
0.3,5,70.1F,3.95
0.35,4,70.1F,3.95
0.4,3,70.1F,3.95
0.45,3,70.1F,3.95
0.5,4,70.1F,3.95
0.55,3,70.1F,3.95
0.6,4,70.1F,3.95
0.65,3,70.1F,3.95
0.7,5,70.1F,3.95
0.75,5,70.1F,3.95
0.8,6,70.1F,3.95
0.85,6,70.1F,3.95
0.9,14,70.1F,3.95
0.95,23,70.1F,3.95
1,30,70.1F,3.95
1.05,47,70.1F,3.95
1.1,55,70.1F,3.95
1.15,66,70.1F,3.95
1.2,77,70.1F,3.95
1.25,82,70.1F,3.95
1.3,91,70.1F,3.95
1.35,94,70.1F,3.95
1.4,101,70.1F,3.95
1.45,107,70.1F,3.95
1.5,109,70.1F,3.95
1.55,121,70.1F,3.95
1.6,121,70.1F,3.94
1.65,133,70.1F,3.94
1.7,134,70.1F,3.94
1.75,141,70.1F,3.94
1.8,143,70.1F,3.94
1.85,146,70.1F,3.94
1.9,154,70.1F,3.94
1.95,155,70.1F,3.94
2,159,70.1F,3.94
2.05,161,70.1F,3.94
2.1,167,70.1F,3.94
2.15,173,70.1F,3.94
2.2,177,70.1F,3.94
2.25,178,70.1F,3.94
2.3,183,70.1F,3.94
2.35,187,70.1F,3.94
2.4,192,70.1F,3.94
2.45,191,70.1F,3.94
2.5,197,70.1F,3.94
2.55,199,70.1F,3.94
2.6,200,70.1F,3.94
2.65,200,70.1F,3.94
2.7,209,70.1F,3.94
2.75,212,70.1F,3.94
2.8,214,70.1F,3.94
2.85,213,70.1F,3.94
2.9,219,70.1F,3.94
2.95,220,70.1F,3.94
3,226,70.1F,3.94
3.05,225,70.1F,3.94
3.1,230,70.1F,3.94
3.15,232,70.1F,3.94
3.2,234,70.1F,3.94
3.25,236,70.1F,3.94
3.3,237,70.1F,3.94
3.35,241,70.1F,3.94
3.4,241,70.1F,3.94
3.45,244,70.1F,3.94
3.5,247,70.0F,3.94
3.55,249,70.0F,3.94
3.6,251,70.0F,3.94
3.65,254,70.0F,3.94
3.7,257,70.0F,3.94
3.75,261,70.0F,3.94
3.8,261,70.0F,3.94
3.85,263,70.0F,3.94
3.9,264,70.1F,3.94
3.95,266,70.1F,3.94
4,267,70.1F,3.94
4.05,268,70.1F,3.94
4.1,271,70.1F,3.94
4.15,270,70.1F,3.94
4.2,271,70.1F,3.94
4.25,273,70.1F,3.94
4.3,274,70.1F,3.94
4.35,277,70.1F,3.94
4.4,288,70.1F,3.94
4.45,279,70.1F,3.94
4.5,266,70.0F,3.94
4.55,278,70.0F,3.94
4.6,284,70.1F,3.94
4.65,285,70.1F,3.94
4.7,281,70.1F,3.94
4.75,283,70.1F,3.94
4.8,283,70.0F,3.94
