Time,Altitude,Temperature,Voltage
0,1,69.9F,3.95
0.05,1,69.9F,3.95
0.1,1,69.9F,3.95
0.15,0,69.9F,3.95
0.2,1,69.9F,3.96
0.25,1,69.8F,3.95
0.3,2,69.8F,3.95
0.35,7,69.8F,3.95
0.4,9,69.8F,3.95
0.45,12,69.8F,3.95
0.5,16,69.8F,3.95
0.55,21,69.8F,3.95
0.6,25,69.8F,3.95
0.65,30,69.8F,3.95
0.7,36,69.9F,3.95
0.75,41,69.8F,3.95
0.8,47,69.8F,3.95
0.85,52,69.8F,3.95
0.9,57,69.8F,3.95
0.95,62,69.8F,3.95
1,69,69.8F,3.95
1.05,73,69.8F,3.95
1.1,77,69.8F,3.95
1.15,82,69.8F,3.95
1.2,86,69.8F,3.95
1.25,90,69.8F,3.95
1.3,95,69.8F,3.95
1.35,100,69.8F,3.95
1.4,104,69.8F,3.95
1.45,108,69.8F,3.96
1.5,113,69.8F,3.95
1.55,118,69.8F,3.95
1.6,122,69.8F,3.94
1.65,126,69.8F,3.94
1.7,128,69.8F,3.94
1.75,133,69.8F,3.94
1.8,136,69.8F,3.94
1.85,138,69.8F,3.94
1.9,143,69.8F,3.94
1.95,147,69.8F,3.94
2,150,69.8F,3.94
2.05,153,69.8F,3.94
2.1,155,69.8F,3.94
2.15,158,69.8F,3.94
2.2,162,69.8F,3.94
2.25,164,69.8F,3.94
2.3,168,69.8F,3.94
2.35,172,69.8F,3.94
2.4,175,69.8F,3.94
2.45,176,69.8F,3.94
2.5,178,69.8F,3.94
2.55,180,69.8F,3.94
2.6,182,69.8F,3.94
2.65,184,69.8F,3.94
2.7,184,69.8F,3.94
2.75,187,69.8F,3.94
2.8,188,69.8F,3.94
2.85,190,69.8F,3.94
2.9,191,69.8F,3.94
2.95,194,69.8F,3.94
3,196,69.8F,3.94
3.05,197,69.8F,3.94
3.1,198,69.8F,3.94
3.15,-347,69.8F,3.94
3.2,201,69.7F,3.94
3.25,207,69.8F,3.94
3.3,204,69.8F,3.94
3.35,204,69.8F,3.94
3.4,204,69.8F,3.94
3.45,209,69.8F,3.94
3.5,208,69.8F,3.94
3.55,208,69.8F,3.94
3.6,208,69.8F,3.94
3.65,208,69.7F,3.94
3.7,208,69.8F,3.94
3.75,209,69.8F,3.94
3.8,209,69.8F,3.94
3.85,209,69.8F,3.94
3.9,209,69.8F,3.94
3.95,209,69.8F,3.94
4,209,69.7F,3.94
4.05,208,69.7F,3.94
4.1,207,69.7F,3.94
4.15,206,69.8F,3.94
4.2,207,69.8F,3.94
4.25,208,69.8F,3.94
4.3,208,69.8F,3.94
4.35,207,69.8F,3.94
4.4,206,69.8F,3.94
4.45,203,69.8F,3.94
4.5,205,69.8F,3.94
4.55,205,69.8F,3.94
4.6,199,69.8F,3.94
4.65,202,69.8F,3.94
4.7,204,69.8F,3.94
4.75,203,69.8F,3.94
4.8,196,69.8F,3.94
4.85,194,69.8F,3.94
4.9,197,69.8F,3.94
4.95,195,69.7F,3.94
5,196,69.8F,3.94
5.05,194,69.8F,3.94
5.1,193,69.8F,3.94
5.15,187,69.8F,3.94
5.2,187,69.8F,3.94
5.25,185,69.8F,3.94
5.3,184,69.7F,3.94
5.35,184,69.7F,3.94
5.4,182,69.8F,3.94
5.45,180,69.8F,3.94
5.5,178,69.8F,3.94
5.55,176,69.8F,3.94
5.6,173,69.8F,3.94
5.65,173,69.8F,3.94
5.7,171,69.7F,3.94
5.75,168,69.7F,3.94
5.8,168,69.7F,3.94
5.85,166,69.7F,3.94
5.9,166,69.7F,3.94
5.95,165,69.8F,3.94
6,160,69.8F,3.94
6.05,157,69.8F,3.94
6.1,156,69.7F,3.94
6.15,153,69.7F,3.94
6.2,152,69.7F,3.94
6.25,150,69.7F,3.94
6.3,150,69.7F,3.94
6.35,145,69.7F,3.94
6.4,143,69.7F,3.94
6.45,143,69.7F,3.94
6.5,138,69.7F,3.94
6.55,138,69.7F,3.94
6.6,134,69.7F,3.94
6.65,143,69.7F,3.94
6.7,132,69.7F,3.94
6.75,128,69.7F,3.94
6.8,127,69.7F,3.94
6.85,122,69.7F,3.94
6.9,119,69.7F,3.94
6.95,116,69.7F,3.94
7,113,69.7F,3.94
7.05,111,69.7F,3.94
7.1,111,69.7F,3.94
7.15,107,69.7F,3.94
7.2,105,69.7F,3.94
